             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.4071287E-03   0.2754653E-02   0.1271119E-02
  0.1500000E+01   0.5317531E-03   0.3115054E-02   0.1522231E-02
  0.2500000E+01   0.6847550E-03   0.3501433E-02   0.1806347E-02
  0.3500000E+01   0.8699456E-03   0.3913042E-02   0.2124816E-02
  0.4500000E+01   0.1091068E-02   0.4348850E-02   0.2478599E-02
  0.5500000E+01   0.1351679E-02   0.4807550E-02   0.2868230E-02
  0.6500000E+01   0.1655020E-02   0.5287574E-02   0.3293788E-02
  0.7500000E+01   0.2003901E-02   0.5787121E-02   0.3754873E-02
  0.8500000E+01   0.2400583E-02   0.6304174E-02   0.4250603E-02
  0.9500000E+01   0.2846678E-02   0.6836533E-02   0.4779618E-02
  0.1050000E+02   0.3343065E-02   0.7381843E-02   0.5340094E-02
  0.1150000E+02   0.3889831E-02   0.7937624E-02   0.5929770E-02
  0.1250000E+02   0.4486227E-02   0.8501306E-02   0.6545984E-02
  0.1350000E+02   0.5130660E-02   0.9070258E-02   0.7185714E-02
  0.1450000E+02   0.5820702E-02   0.9641822E-02   0.7845629E-02
  0.1550000E+02   0.6553124E-02   0.1021334E-01   0.8522146E-02
  0.1650000E+02   0.7323957E-02   0.1078219E-01   0.9211479E-02
  0.1750000E+02   0.8128569E-02   0.1134581E-01   0.9909707E-02
  0.1850000E+02   0.8961753E-02   0.1190171E-01   0.1061283E-01
  0.1950000E+02   0.9817833E-02   0.1244751E-01   0.1131681E-01
  0.2050000E+02   0.1069078E-01   0.1298095E-01   0.1201767E-01
  0.2150000E+02   0.1157433E-01   0.1349992E-01   0.1271149E-01
  0.2250000E+02   0.1246208E-01   0.1400245E-01   0.1339449E-01
  0.2350000E+02   0.1334763E-01   0.1448675E-01   0.1406306E-01
  0.2450000E+02   0.1422468E-01   0.1495118E-01   0.1471380E-01
  0.2550000E+02   0.1508711E-01   0.1539429E-01   0.1534354E-01
  0.2650000E+02   0.1581481E-01   0.1594939E-01   0.1594939E-01
  0.2750000E+02   0.1621165E-01   0.1674519E-01   0.1652871E-01
  0.2850000E+02   0.1658389E-01   0.1753033E-01   0.1707918E-01
  0.2950000E+02   0.1693080E-01   0.1827996E-01   0.1759878E-01
  0.3050000E+02   0.1725182E-01   0.1899001E-01   0.1808579E-01
  0.3150000E+02   0.1754652E-01   0.1965697E-01   0.1853879E-01
  0.3250000E+02   0.1781469E-01   0.2027788E-01   0.1895667E-01
  0.3350000E+02   0.1805621E-01   0.2085031E-01   0.1933860E-01
  0.3450000E+02   0.1827112E-01   0.2137240E-01   0.1968404E-01
  0.3550000E+02   0.1845961E-01   0.2184280E-01   0.1999269E-01
  0.3650000E+02   0.1862196E-01   0.2226069E-01   0.2026452E-01
  0.3750000E+02   0.1875857E-01   0.2262570E-01   0.2049973E-01
  0.3850000E+02   0.1886995E-01   0.2293792E-01   0.2069872E-01
  0.3950000E+02   0.1895668E-01   0.2319786E-01   0.2086208E-01
  0.4050000E+02   0.1901942E-01   0.2340637E-01   0.2099059E-01
  0.4150000E+02   0.1905892E-01   0.2356466E-01   0.2108517E-01
  0.4250000E+02   0.1907597E-01   0.2367420E-01   0.2114687E-01
  0.4350000E+02   0.1907140E-01   0.2373672E-01   0.2117686E-01
  0.4450000E+02   0.1904611E-01   0.2375416E-01   0.2117641E-01
  0.4550000E+02   0.1900100E-01   0.2372864E-01   0.2114685E-01
  0.4650000E+02   0.1893703E-01   0.2366239E-01   0.2108960E-01
  0.4750000E+02   0.1885514E-01   0.2355776E-01   0.2100609E-01
  0.4850000E+02   0.1875630E-01   0.2341717E-01   0.2089783E-01
  0.4950000E+02   0.1864149E-01   0.2324307E-01   0.2076630E-01
  0.5050000E+02   0.1851169E-01   0.2303794E-01   0.2061302E-01
  0.5150000E+02   0.1836784E-01   0.2280424E-01   0.2043950E-01
  0.5250000E+02   0.1821091E-01   0.2254441E-01   0.2024723E-01
  0.5350000E+02   0.1804185E-01   0.2226086E-01   0.2003769E-01
  0.5450000E+02   0.1786156E-01   0.2195591E-01   0.1981231E-01
  0.5550000E+02   0.1767095E-01   0.2163185E-01   0.1957250E-01
  0.5650000E+02   0.1747090E-01   0.2129085E-01   0.1931964E-01
  0.5750000E+02   0.1726226E-01   0.2093500E-01   0.1905504E-01
  0.5850000E+02   0.1704585E-01   0.2056631E-01   0.1877998E-01
  0.5950000E+02   0.1682247E-01   0.2018668E-01   0.1849569E-01
