             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.1263867E-03   0.2142683E-03   0.1724152E-03
  0.1500000E+01   0.1570548E-03   0.2579317E-03   0.2103301E-03
  0.2500000E+01   0.1935187E-03   0.3083003E-03   0.2546243E-03
  0.3500000E+01   0.2365064E-03   0.3659912E-03   0.3059740E-03
  0.4500000E+01   0.2867700E-03   0.4316148E-03   0.3650612E-03
  0.5500000E+01   0.3450752E-03   0.5057652E-03   0.4325632E-03
  0.6500000E+01   0.4121890E-03   0.5890098E-03   0.5091413E-03
  0.7500000E+01   0.4888685E-03   0.6818806E-03   0.5954303E-03
  0.8500000E+01   0.5758467E-03   0.7848638E-03   0.6920265E-03
  0.9500000E+01   0.6738190E-03   0.8983902E-03   0.7994766E-03
  0.1050000E+02   0.7834300E-03   0.1022828E-02   0.9182669E-03
  0.1150000E+02   0.9052602E-03   0.1158473E-02   0.1048813E-02
  0.1250000E+02   0.1039813E-02   0.1305543E-02   0.1191451E-02
  0.1350000E+02   0.1187502E-02   0.1464172E-02   0.1346428E-02
  0.1450000E+02   0.1348643E-02   0.1634405E-02   0.1513896E-02
  0.1550000E+02   0.1523443E-02   0.1816197E-02   0.1693907E-02
  0.1650000E+02   0.1711996E-02   0.2009408E-02   0.1886410E-02
  0.1750000E+02   0.1914272E-02   0.2213804E-02   0.2091245E-02
  0.1850000E+02   0.2130118E-02   0.2429057E-02   0.2308145E-02
  0.1950000E+02   0.2359257E-02   0.2654751E-02   0.2536740E-02
  0.2050000E+02   0.2601289E-02   0.2890382E-02   0.2776554E-02
  0.2150000E+02   0.2855688E-02   0.3135362E-02   0.3027012E-02
  0.2250000E+02   0.3121815E-02   0.3389027E-02   0.3287446E-02
  0.2350000E+02   0.3398917E-02   0.3650642E-02   0.3557100E-02
  0.2450000E+02   0.3686143E-02   0.3919413E-02   0.3835141E-02
  0.2550000E+02   0.3982544E-02   0.4194484E-02   0.4120664E-02
  0.2650000E+02   0.4287090E-02   0.4474959E-02   0.4412703E-02
  0.2750000E+02   0.4598681E-02   0.4759903E-02   0.4710242E-02
  0.2850000E+02   0.4916155E-02   0.5048349E-02   0.5012225E-02
  0.2950000E+02   0.5238307E-02   0.5339314E-02   0.5317565E-02
  0.3050000E+02   0.5563894E-02   0.5631803E-02   0.5625156E-02
  0.3150000E+02   0.5891654E-02   0.5933883E-02   0.5933883E-02
  0.3250000E+02   0.6217367E-02   0.6242632E-02   0.6242632E-02
  0.3350000E+02   0.6508473E-02   0.6550300E-02   0.6550300E-02
  0.3450000E+02   0.6797178E-02   0.6875292E-02   0.6855802E-02
  0.3550000E+02   0.7082553E-02   0.7199123E-02   0.7158081E-02
  0.3650000E+02   0.7363705E-02   0.7518918E-02   0.7456120E-02
  0.3750000E+02   0.7639778E-02   0.7833529E-02   0.7748938E-02
  0.3850000E+02   0.7909958E-02   0.8141861E-02   0.8035606E-02
  0.3950000E+02   0.8173485E-02   0.8442881E-02   0.8315250E-02
  0.4050000E+02   0.8429646E-02   0.8735622E-02   0.8587051E-02
