             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.3749647E-04   0.2854820E-03   0.1244451E-03
  0.1500000E+01   0.5221526E-04   0.3535927E-03   0.1613162E-03
  0.2500000E+01   0.7178199E-04   0.4349374E-03   0.2072124E-03
  0.3500000E+01   0.9746901E-04   0.5314281E-03   0.2638350E-03
  0.4500000E+01   0.1307864E-03   0.6451319E-03   0.3330911E-03
  0.5500000E+01   0.1735029E-03   0.7782645E-03   0.4170975E-03
  0.6500000E+01   0.2276633E-03   0.9331813E-03   0.5181798E-03
  0.7500000E+01   0.2956016E-03   0.1112365E-02   0.6388684E-03
  0.8500000E+01   0.3799494E-03   0.1318409E-02   0.7818891E-03
  0.9500000E+01   0.4836375E-03   0.1554000E-02   0.9501498E-03
  0.1050000E+02   0.6098909E-03   0.1821897E-02   0.1146722E-02
  0.1150000E+02   0.7622158E-03   0.2124906E-02   0.1374819E-02
  0.1250000E+02   0.9443795E-03   0.2465853E-02   0.1637765E-02
  0.1350000E+02   0.1160381E-02   0.2847560E-02   0.1938968E-02
  0.1450000E+02   0.1414417E-02   0.3272807E-02   0.2281883E-02
  0.1550000E+02   0.1710832E-02   0.3744311E-02   0.2669972E-02
  0.1650000E+02   0.2054077E-02   0.4264684E-02   0.3106665E-02
  0.1750000E+02   0.2448642E-02   0.4836408E-02   0.3595316E-02
  0.1850000E+02   0.2899004E-02   0.5461801E-02   0.4139161E-02
  0.1950000E+02   0.3409556E-02   0.6142987E-02   0.4741269E-02
  0.2050000E+02   0.3984542E-02   0.6881864E-02   0.5404505E-02
  0.2150000E+02   0.4627990E-02   0.7680080E-02   0.6131483E-02
  0.2250000E+02   0.5343643E-02   0.8539004E-02   0.6924527E-02
  0.2350000E+02   0.6134894E-02   0.9459704E-02   0.7785633E-02
  0.2450000E+02   0.7004729E-02   0.1044293E-01   0.8716433E-02
  0.2550000E+02   0.7955664E-02   0.1148909E-01   0.9718170E-02
  0.2650000E+02   0.8989702E-02   0.1259825E-01   0.1079167E-01
  0.2750000E+02   0.1010828E-01   0.1377011E-01   0.1193731E-01
  0.2850000E+02   0.1131226E-01   0.1500400E-01   0.1315502E-01
  0.2950000E+02   0.1260185E-01   0.1629889E-01   0.1444427E-01
  0.3050000E+02   0.1397664E-01   0.1765337E-01   0.1580405E-01
  0.3150000E+02   0.1543557E-01   0.1906569E-01   0.1723289E-01
  0.3250000E+02   0.1697694E-01   0.2053372E-01   0.1872885E-01
  0.3350000E+02   0.1859838E-01   0.2205501E-01   0.2028953E-01
  0.3450000E+02   0.2029692E-01   0.2362678E-01   0.2191210E-01
  0.3550000E+02   0.2206900E-01   0.2524594E-01   0.2359333E-01
  0.3650000E+02   0.2391047E-01   0.2690910E-01   0.2532957E-01
  0.3750000E+02   0.2581667E-01   0.2861263E-01   0.2711682E-01
  0.3850000E+02   0.2778245E-01   0.3035264E-01   0.2895075E-01
  0.3950000E+02   0.2980223E-01   0.3212506E-01   0.3082672E-01
  0.4050000E+02   0.3187003E-01   0.3392559E-01   0.3273984E-01
  0.4150000E+02   0.3397957E-01   0.3574981E-01   0.3468499E-01
  0.4250000E+02   0.3612427E-01   0.3759317E-01   0.3665687E-01
  0.4350000E+02   0.3829738E-01   0.3945101E-01   0.3865001E-01
  0.4450000E+02   0.4049194E-01   0.4131862E-01   0.4065886E-01
  0.4550000E+02   0.4267779E-01   0.4319124E-01   0.4267779E-01
  0.4650000E+02   0.4470116E-01   0.4506410E-01   0.4470116E-01
  0.4750000E+02   0.4672330E-01   0.4713401E-01   0.4672330E-01
  0.4850000E+02   0.4873862E-01   0.4934404E-01   0.4873862E-01
  0.4950000E+02   0.5063706E-01   0.5154053E-01   0.5074160E-01
  0.5050000E+02   0.5246411E-01   0.5371678E-01   0.5272683E-01
  0.5150000E+02   0.5426843E-01   0.5586628E-01   0.5468903E-01
  0.5250000E+02   0.5604575E-01   0.5798275E-01   0.5662310E-01
  0.5350000E+02   0.5779197E-01   0.6006021E-01   0.5852414E-01
  0.5450000E+02   0.5950315E-01   0.6209297E-01   0.6038745E-01
  0.5550000E+02   0.6117557E-01   0.6407566E-01   0.6220858E-01
  0.5650000E+02   0.6280567E-01   0.6600327E-01   0.6398332E-01
  0.5750000E+02   0.6439016E-01   0.6787115E-01   0.6570774E-01
  0.5850000E+02   0.6592592E-01   0.6967504E-01   0.6737817E-01
  0.5950000E+02   0.6741011E-01   0.7141104E-01   0.6899125E-01
  0.6050000E+02   0.6884010E-01   0.7307568E-01   0.7054391E-01
  0.6150000E+02   0.7021351E-01   0.7466586E-01   0.7203336E-01
  0.6250000E+02   0.7152820E-01   0.7617887E-01   0.7345713E-01
  0.6350000E+02   0.7278227E-01   0.7761241E-01   0.7481303E-01
  0.6450000E+02   0.7397408E-01   0.7896456E-01   0.7609919E-01
  0.6550000E+02   0.7510221E-01   0.8023376E-01   0.7731403E-01
  0.6650000E+02   0.7616549E-01   0.8141882E-01   0.7845624E-01
  0.6750000E+02   0.7716298E-01   0.8251890E-01   0.7952482E-01
  0.6850000E+02   0.7809396E-01   0.8353350E-01   0.8051901E-01
  0.6950000E+02   0.7895794E-01   0.8446245E-01   0.8143833E-01
  0.7050000E+02   0.7975463E-01   0.8530585E-01   0.8228257E-01
  0.7150000E+02   0.8048395E-01   0.8606412E-01   0.8305172E-01
  0.7250000E+02   0.8114601E-01   0.8673794E-01   0.8374604E-01
  0.7350000E+02   0.8174111E-01   0.8732823E-01   0.8436599E-01
  0.7450000E+02   0.8226973E-01   0.8783614E-01   0.8491222E-01
  0.7550000E+02   0.8273249E-01   0.8826304E-01   0.8538560E-01
  0.7650000E+02   0.8313019E-01   0.8861050E-01   0.8578715E-01
  0.7750000E+02   0.8346376E-01   0.8888024E-01   0.8611805E-01
  0.7850000E+02   0.8373428E-01   0.8907417E-01   0.8637967E-01
  0.7950000E+02   0.8394291E-01   0.8919431E-01   0.8657347E-01
  0.8050000E+02   0.8409098E-01   0.8924281E-01   0.8670105E-01
  0.8150000E+02   0.8417987E-01   0.8922194E-01   0.8676413E-01
  0.8250000E+02   0.8421108E-01   0.8913403E-01   0.8676451E-01
  0.8350000E+02   0.8418618E-01   0.8898152E-01   0.8670409E-01
  0.8450000E+02   0.8410681E-01   0.8876687E-01   0.8658483E-01
