             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.1767936E-05   0.1565562E-03   0.2839541E-04
  0.1500000E+01   0.3189717E-05   0.2093932E-03   0.4240196E-04
  0.2500000E+01   0.5589367E-05   0.2768418E-03   0.6219826E-04
  0.3500000E+01   0.9526374E-05   0.3619802E-03   0.8969717E-04
  0.4500000E+01   0.1581410E-04   0.4682947E-03   0.1272694E-03
  0.5500000E+01   0.2560238E-04   0.5996853E-03   0.1778007E-03
  0.6500000E+01   0.4047369E-04   0.7604611E-03   0.2447442E-03
  0.7500000E+01   0.6255071E-04   0.9553265E-03   0.3321618E-03
  0.8500000E+01   0.9461126E-04   0.1189356E-02   0.4447556E-03
  0.9500000E+01   0.1402053E-03   0.1467957E-02   0.5878815E-03
  0.1050000E+02   0.2037665E-03   0.1796826E-02   0.7675461E-03
  0.1150000E+02   0.2907116E-03   0.2181891E-02   0.9903830E-03
  0.1250000E+02   0.4075174E-03   0.2629242E-02   0.1263608E-02
  0.1350000E+02   0.5617684E-03   0.3145064E-02   0.1594951E-02
  0.1450000E+02   0.7621668E-03   0.3735548E-02   0.1992571E-02
  0.1550000E+02   0.1018499E-02   0.4406814E-02   0.2464944E-02
  0.1650000E+02   0.1341557E-02   0.5164815E-02   0.3020740E-02
  0.1750000E+02   0.1743003E-02   0.6015249E-02   0.3668685E-02
  0.1850000E+02   0.2235198E-02   0.6963473E-02   0.4417408E-02
  0.1950000E+02   0.2830979E-02   0.8014411E-02   0.5275284E-02
  0.2050000E+02   0.3543398E-02   0.9172476E-02   0.6250275E-02
  0.2150000E+02   0.4385436E-02   0.1044149E-01   0.7349774E-02
  0.2250000E+02   0.5369699E-02   0.1182462E-01   0.8580456E-02
  0.2350000E+02   0.6508101E-02   0.1332431E-01   0.9948132E-02
  0.2450000E+02   0.7811560E-02   0.1494225E-01   0.1145763E-01
  0.2550000E+02   0.9289701E-02   0.1667931E-01   0.1311268E-01
  0.2650000E+02   0.1095059E-01   0.1853553E-01   0.1491583E-01
  0.2750000E+02   0.1280050E-01   0.2051011E-01   0.1686837E-01
  0.2850000E+02   0.1484374E-01   0.2260138E-01   0.1897030E-01
  0.2950000E+02   0.1708246E-01   0.2480684E-01   0.2122030E-01
  0.3050000E+02   0.1951665E-01   0.2712314E-01   0.2361572E-01
  0.3150000E+02   0.2214399E-01   0.2954614E-01   0.2615262E-01
  0.3250000E+02   0.2495997E-01   0.3207093E-01   0.2882579E-01
  0.3350000E+02   0.2795786E-01   0.3469188E-01   0.3162885E-01
  0.3450000E+02   0.3112889E-01   0.3740269E-01   0.3455426E-01
  0.3550000E+02   0.3446232E-01   0.4019644E-01   0.3759349E-01
  0.3650000E+02   0.3794569E-01   0.4306570E-01   0.4073706E-01
  0.3750000E+02   0.4156498E-01   0.4600251E-01   0.4397469E-01
  0.3850000E+02   0.4530484E-01   0.4899855E-01   0.4729541E-01
  0.3950000E+02   0.4914883E-01   0.5204513E-01   0.5068766E-01
  0.4050000E+02   0.5307967E-01   0.5513332E-01   0.5413945E-01
  0.4150000E+02   0.5707949E-01   0.5825400E-01   0.5763847E-01
  0.4250000E+02   0.6113004E-01   0.6139793E-01   0.6117221E-01
  0.4350000E+02   0.6455582E-01   0.6521295E-01   0.6472808E-01
  0.4450000E+02   0.6771840E-01   0.6930995E-01   0.6829352E-01
  0.4550000E+02   0.7087650E-01   0.7340304E-01   0.7185612E-01
  0.4650000E+02   0.7402107E-01   0.7747471E-01   0.7540371E-01
  0.4750000E+02   0.7714328E-01   0.8150805E-01   0.7892443E-01
  0.4850000E+02   0.8023455E-01   0.8548697E-01   0.8240683E-01
  0.4950000E+02   0.8328659E-01   0.8939623E-01   0.8583997E-01
  0.5050000E+02   0.8629145E-01   0.9322161E-01   0.8921342E-01
  0.5150000E+02   0.8924155E-01   0.9694993E-01   0.9251736E-01
  0.5250000E+02   0.9212973E-01   0.1005692E+00   0.9574259E-01
  0.5350000E+02   0.9494924E-01   0.1040684E+00   0.9888058E-01
  0.5450000E+02   0.9769381E-01   0.1074379E+00   0.1019235E+00
  0.5550000E+02   0.1003576E+00   0.1106692E+00   0.1048643E+00
  0.5650000E+02   0.1029353E+00   0.1137549E+00   0.1076965E+00
  0.5750000E+02   0.1054221E+00   0.1166888E+00   0.1104144E+00
  0.5850000E+02   0.1078135E+00   0.1194658E+00   0.1130131E+00
  0.5950000E+02   0.1101058E+00   0.1220819E+00   0.1154884E+00
  0.6050000E+02   0.1122956E+00   0.1245341E+00   0.1178366E+00
  0.6150000E+02   0.1143799E+00   0.1268204E+00   0.1200548E+00
  0.6250000E+02   0.1163563E+00   0.1289396E+00   0.1221409E+00
  0.6350000E+02   0.1182229E+00   0.1308915E+00   0.1240931E+00
  0.6450000E+02   0.1199782E+00   0.1326766E+00   0.1259105E+00
  0.6550000E+02   0.1216209E+00   0.1342962E+00   0.1275925E+00
  0.6650000E+02   0.1231506E+00   0.1357522E+00   0.1291393E+00
  0.6750000E+02   0.1245668E+00   0.1370470E+00   0.1305513E+00
  0.6850000E+02   0.1258697E+00   0.1381837E+00   0.1318295E+00
  0.6950000E+02   0.1270596E+00   0.1391657E+00   0.1329753E+00
  0.7050000E+02   0.1281374E+00   0.1399970E+00   0.1339906E+00
  0.7150000E+02   0.1291040E+00   0.1406817E+00   0.1348775E+00
  0.7250000E+02   0.1299609E+00   0.1412244E+00   0.1356384E+00
  0.7350000E+02   0.1307096E+00   0.1416298E+00   0.1362762E+00
  0.7450000E+02   0.1313519E+00   0.1419030E+00   0.1367938E+00
  0.7550000E+02   0.1318900E+00   0.1420490E+00   0.1371944E+00
  0.7650000E+02   0.1323261E+00   0.1420732E+00   0.1374815E+00
  0.7750000E+02   0.1326626E+00   0.1419808E+00   0.1376586E+00
  0.7850000E+02   0.1329022E+00   0.1417773E+00   0.1377295E+00
  0.7950000E+02   0.1330474E+00   0.1414679E+00   0.1376979E+00
  0.8050000E+02   0.1331013E+00   0.1410582E+00   0.1375679E+00
  0.8150000E+02   0.1330667E+00   0.1405533E+00   0.1373433E+00
  0.8250000E+02   0.1329466E+00   0.1399587E+00   0.1370281E+00
  0.8350000E+02   0.1327441E+00   0.1392795E+00   0.1366265E+00
  0.8450000E+02   0.1324625E+00   0.1385209E+00   0.1361424E+00
  0.8550000E+02   0.1321048E+00   0.1376878E+00   0.1355799E+00
  0.8650000E+02   0.1316742E+00   0.1367850E+00   0.1349431E+00
  0.8750000E+02   0.1311740E+00   0.1358175E+00   0.1342358E+00
  0.8850000E+02   0.1306074E+00   0.1347897E+00   0.1334621E+00
  0.8950000E+02   0.1299776E+00   0.1337062E+00   0.1326257E+00
  0.9050000E+02   0.1292877E+00   0.1325713E+00   0.1317305E+00
  0.9150000E+02   0.1285410E+00   0.1313890E+00   0.1307801E+00
  0.9250000E+02   0.1277404E+00   0.1301635E+00   0.1297784E+00
  0.9350000E+02   0.1268892E+00   0.1288986E+00   0.1287287E+00
  0.9450000E+02   0.1259903E+00   0.1276345E+00   0.1276345E+00
  0.9550000E+02   0.1250466E+00   0.1264991E+00   0.1264991E+00
  0.9650000E+02   0.1240611E+00   0.1253259E+00   0.1253259E+00
  0.9750000E+02   0.1230365E+00   0.1241180E+00   0.1241180E+00
  0.9850000E+02   0.1219757E+00   0.1228783E+00   0.1228783E+00
  0.9950000E+02   0.1206761E+00   0.1216098E+00   0.1216098E+00
  0.1005000E+03   0.1192295E+00   0.1203153E+00   0.1203153E+00
  0.1015000E+03   0.1177685E+00   0.1189974E+00   0.1189974E+00
  0.1025000E+03   0.1162956E+00   0.1176589E+00   0.1176589E+00
  0.1035000E+03   0.1148131E+00   0.1163021E+00   0.1163021E+00
  0.1045000E+03   0.1133233E+00   0.1149942E+00   0.1149294E+00
  0.1055000E+03   0.1118282E+00   0.1137503E+00   0.1135431E+00
  0.1065000E+03   0.1103298E+00   0.1124892E+00   0.1121453E+00
  0.1075000E+03   0.1088298E+00   0.1112132E+00   0.1107380E+00
  0.1085000E+03   0.1073299E+00   0.1099241E+00   0.1093233E+00
  0.1095000E+03   0.1058319E+00   0.1086237E+00   0.1079028E+00
  0.1105000E+03   0.1043370E+00   0.1073139E+00   0.1064785E+00
  0.1115000E+03   0.1028468E+00   0.1059964E+00   0.1050519E+00
  0.1125000E+03   0.1013625E+00   0.1046727E+00   0.1036245E+00
  0.1135000E+03   0.9988529E-01   0.1033445E+00   0.1021979E+00
  0.1145000E+03   0.9841630E-01   0.1020131E+00   0.1007734E+00
  0.1155000E+03   0.9695654E-01   0.1006799E+00   0.9935230E-01
  0.1165000E+03   0.9550695E-01   0.9934639E-01   0.9793582E-01
  0.1175000E+03   0.9406840E-01   0.9801365E-01   0.9652509E-01
  0.1185000E+03   0.9264168E-01   0.9668291E-01   0.9512117E-01
  0.1195000E+03   0.9122751E-01   0.9535526E-01   0.9372503E-01
  0.1205000E+03   0.8982655E-01   0.9403176E-01   0.9233760E-01
  0.1215000E+03   0.8843940E-01   0.9271337E-01   0.9095971E-01
  0.1225000E+03   0.8706660E-01   0.9140102E-01   0.8959216E-01
  0.1235000E+03   0.8570864E-01   0.9009555E-01   0.8823567E-01
  0.1245000E+03   0.8436594E-01   0.8879779E-01   0.8689089E-01
  0.1255000E+03   0.8303889E-01   0.8750846E-01   0.8555845E-01
  0.1265000E+03   0.8172783E-01   0.8622826E-01   0.8423889E-01
  0.1275000E+03   0.8043306E-01   0.8495783E-01   0.8293272E-01
  0.1285000E+03   0.7915483E-01   0.8369778E-01   0.8164041E-01
  0.1295000E+03   0.7789335E-01   0.8244864E-01   0.8036235E-01
  0.1305000E+03   0.7664882E-01   0.8121092E-01   0.7909892E-01
  0.1315000E+03   0.7542138E-01   0.7998509E-01   0.7785045E-01
  0.1325000E+03   0.7421114E-01   0.7877155E-01   0.7661723E-01
  0.1335000E+03   0.7301821E-01   0.7757069E-01   0.7539951E-01
  0.1345000E+03   0.7184263E-01   0.7638286E-01   0.7419751E-01
  0.1355000E+03   0.7068444E-01   0.7520837E-01   0.7301141E-01
  0.1365000E+03   0.6954366E-01   0.7404749E-01   0.7184138E-01
  0.1375000E+03   0.6842029E-01   0.7290046E-01   0.7068753E-01
  0.1385000E+03   0.6731429E-01   0.7176751E-01   0.6954997E-01
  0.1395000E+03   0.6622561E-01   0.7064881E-01   0.6842877E-01
  0.1405000E+03   0.6515419E-01   0.6954453E-01   0.6732398E-01
  0.1415000E+03   0.6409996E-01   0.6845479E-01   0.6623564E-01
  0.1425000E+03   0.6306281E-01   0.6737972E-01   0.6516374E-01
  0.1435000E+03   0.6204264E-01   0.6631938E-01   0.6410828E-01
  0.1445000E+03   0.6103933E-01   0.6527387E-01   0.6306922E-01
  0.1455000E+03   0.6005274E-01   0.6424320E-01   0.6204653E-01
  0.1465000E+03   0.5908275E-01   0.6322742E-01   0.6104013E-01
  0.1475000E+03   0.5812918E-01   0.6222654E-01   0.6004996E-01
  0.1485000E+03   0.5719189E-01   0.6124054E-01   0.5907591E-01
  0.1495000E+03   0.5627070E-01   0.6026940E-01   0.5811790E-01
  0.1505000E+03   0.5536545E-01   0.5931308E-01   0.5717580E-01
  0.1515000E+03   0.5447596E-01   0.5837154E-01   0.5624949E-01
  0.1525000E+03   0.5360203E-01   0.5744472E-01   0.5533884E-01
  0.1535000E+03   0.5274347E-01   0.5653253E-01   0.5444370E-01
  0.1545000E+03   0.5190011E-01   0.5563489E-01   0.5356393E-01
  0.1555000E+03   0.5107172E-01   0.5475171E-01   0.5269937E-01
  0.1565000E+03   0.5025812E-01   0.5388287E-01   0.5184986E-01
  0.1575000E+03   0.4945910E-01   0.5302828E-01   0.5101522E-01
