             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.1942932E-06   0.5471275E-06   0.3481811E-06
  0.1500000E+01   0.2616672E-06   0.6962733E-06   0.4535753E-06
  0.2500000E+01   0.3493251E-06   0.8800511E-06   0.5861546E-06
  0.3500000E+01   0.4622691E-06   0.1104960E-05   0.7516177E-06
  0.4500000E+01   0.6064125E-06   0.1378375E-05   0.9565418E-06
  0.5500000E+01   0.7886695E-06   0.1708606E-05   0.1208452E-05
  0.6500000E+01   0.1017039E-05   0.2104934E-05   0.1515887E-05
  0.7500000E+01   0.1300683E-05   0.2577656E-05   0.1888453E-05
  0.8500000E+01   0.1649988E-05   0.3138105E-05   0.2336868E-05
  0.9500000E+01   0.2076618E-05   0.3798661E-05   0.2872997E-05
  0.1050000E+02   0.2593550E-05   0.4572747E-05   0.3509864E-05
  0.1150000E+02   0.3215088E-05   0.5474808E-05   0.4261654E-05
  0.1250000E+02   0.3956861E-05   0.6520270E-05   0.5143690E-05
  0.1350000E+02   0.4835787E-05   0.7725485E-05   0.6172394E-05
  0.1450000E+02   0.5870027E-05   0.9107654E-05   0.7365225E-05
  0.1550000E+02   0.7078900E-05   0.1068473E-04   0.8740588E-05
  0.1650000E+02   0.8482783E-05   0.1247529E-04   0.1031774E-04
  0.1750000E+02   0.1010297E-04   0.1449843E-04   0.1211663E-04
  0.1850000E+02   0.1196152E-04   0.1677357E-04   0.1415778E-04
  0.1950000E+02   0.1408108E-04   0.1932035E-04   0.1646211E-04
  0.2050000E+02   0.1648464E-04   0.2215835E-04   0.1905073E-04
  0.2150000E+02   0.1919538E-04   0.2530701E-04   0.2194472E-04
  0.2250000E+02   0.2223633E-04   0.2878533E-04   0.2516495E-04
  0.2350000E+02   0.2563019E-04   0.3261171E-04   0.2873184E-04
  0.2450000E+02   0.2939901E-04   0.3680373E-04   0.3266510E-04
  0.2550000E+02   0.3356392E-04   0.4137792E-04   0.3698350E-04
  0.2650000E+02   0.3814486E-04   0.4634955E-04   0.4170465E-04
  0.2750000E+02   0.4316031E-04   0.5173244E-04   0.4684472E-04
  0.2850000E+02   0.4862697E-04   0.5753874E-04   0.5241827E-04
  0.2950000E+02   0.5455957E-04   0.6377876E-04   0.5843797E-04
  0.3050000E+02   0.6097057E-04   0.7046078E-04   0.6491446E-04
  0.3150000E+02   0.6786998E-04   0.7759090E-04   0.7185610E-04
  0.3250000E+02   0.7526511E-04   0.8517294E-04   0.7926887E-04
  0.3350000E+02   0.8316049E-04   0.9320827E-04   0.8715618E-04
  0.3450000E+02   0.9155762E-04   0.1016957E-03   0.9551878E-04
  0.3550000E+02   0.1004550E-03   0.1106316E-03   0.1043547E-03
  0.3650000E+02   0.1098478E-03   0.1200096E-03   0.1136590E-03
  0.3750000E+02   0.1197283E-03   0.1298207E-03   0.1234242E-03
  0.3850000E+02   0.1300854E-03   0.1400533E-03   0.1336396E-03
  0.3950000E+02   0.1409048E-03   0.1506932E-03   0.1442920E-03
  0.4050000E+02   0.1521694E-03   0.1617237E-03   0.1553652E-03
  0.4150000E+02   0.1638588E-03   0.1731256E-03   0.1668405E-03
  0.4250000E+02   0.1759501E-03   0.1848774E-03   0.1786964E-03
  0.4350000E+02   0.1884174E-03   0.1969553E-03   0.1909091E-03
  0.4450000E+02   0.2012327E-03   0.2093336E-03   0.2034526E-03
  0.4550000E+02   0.2143654E-03   0.2219845E-03   0.2162985E-03
  0.4650000E+02   0.2277831E-03   0.2348788E-03   0.2294167E-03
  0.4750000E+02   0.2414514E-03   0.2479854E-03   0.2427753E-03
  0.4850000E+02   0.2553344E-03   0.2612720E-03   0.2563408E-03
  0.4950000E+02   0.2693952E-03   0.2747054E-03   0.2700785E-03
  0.5050000E+02   0.2835956E-03   0.2882512E-03   0.2839528E-03
  0.5150000E+02   0.2978966E-03   0.3018744E-03   0.2979269E-03
  0.5250000E+02   0.3119637E-03   0.3155397E-03   0.3119637E-03
  0.5350000E+02   0.3260258E-03   0.3292114E-03   0.3260258E-03
  0.5450000E+02   0.3400755E-03   0.3428537E-03   0.3400755E-03
  0.5550000E+02   0.3540752E-03   0.3564312E-03   0.3540752E-03
  0.5650000E+02   0.3679879E-03   0.3699087E-03   0.3679879E-03
  0.5750000E+02   0.3817769E-03   0.3836140E-03   0.3817769E-03
  0.5850000E+02   0.3954064E-03   0.3975237E-03   0.3954064E-03
  0.5950000E+02   0.4088414E-03   0.4112268E-03   0.4088414E-03
  0.6050000E+02   0.4220480E-03   0.4246887E-03   0.4220480E-03
  0.6150000E+02   0.4346169E-03   0.4378760E-03   0.4349938E-03
  0.6250000E+02   0.4468009E-03   0.4507573E-03   0.4476476E-03
