             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00  -0.1136586E-05  -0.1136586E-05  -0.1136586E-05
  0.1500000E+01  -0.1456271E-05  -0.1456271E-05  -0.1456271E-05
  0.2500000E+01  -0.1864746E-05  -0.1864746E-05  -0.1864746E-05
  0.3500000E+01  -0.2385956E-05  -0.2385953E-05  -0.2385956E-05
  0.4500000E+01  -0.3049848E-05  -0.3049839E-05  -0.3049848E-05
  0.5500000E+01  -0.3893596E-05  -0.3893576E-05  -0.3893596E-05
  0.6500000E+01  -0.4962886E-05  -0.4962856E-05  -0.4962886E-05
  0.7500000E+01  -0.6313146E-05  -0.6313113E-05  -0.6313146E-05
  0.8500000E+01  -0.8010485E-05  -0.8010455E-05  -0.8010485E-05
  0.9500000E+01  -0.1013199E-04  -0.1013197E-04  -0.1013199E-04
  0.1050000E+02  -0.1276484E-04  -0.1276483E-04  -0.1276484E-04
  0.1150000E+02  -0.1600358E-04  -0.1600357E-04  -0.1600358E-04
  0.1250000E+02  -0.1994462E-04  -0.1994462E-04  -0.1994462E-04
  0.1350000E+02  -0.2467746E-04  -0.2467746E-04  -0.2467746E-04
  0.1450000E+02  -0.3027197E-04  -0.3027197E-04  -0.3027197E-04
  0.1550000E+02  -0.3676274E-04  -0.3676274E-04  -0.3676274E-04
  0.1650000E+02  -0.4413224E-04  -0.4413224E-04  -0.4413224E-04
  0.1750000E+02  -0.5229676E-04  -0.5229676E-04  -0.5229676E-04
  0.1850000E+02  -0.6110000E-04  -0.6110000E-04  -0.6110000E-04
  0.1950000E+02  -0.7031858E-04  -0.7031858E-04  -0.7031858E-04
  0.2050000E+02  -0.7968140E-04  -0.7968140E-04  -0.7968140E-04
  0.2150000E+02  -0.8889998E-04  -0.8889998E-04  -0.8889998E-04
  0.2250000E+02  -0.9770322E-04  -0.9770322E-04  -0.9770322E-04
  0.2350000E+02  -0.1058677E-03  -0.1058677E-03  -0.1058677E-03
  0.2450000E+02  -0.1132372E-03  -0.1132372E-03  -0.1132372E-03
  0.2550000E+02  -0.1197280E-03  -0.1197280E-03  -0.1197280E-03
  0.2650000E+02  -0.1253225E-03  -0.1253225E-03  -0.1253225E-03
  0.2750000E+02  -0.1300554E-03  -0.1300554E-03  -0.1300554E-03
  0.2850000E+02  -0.1339964E-03  -0.1339964E-03  -0.1339964E-03
  0.2950000E+02  -0.1372351E-03  -0.1372351E-03  -0.1372351E-03
  0.3050000E+02  -0.1398680E-03  -0.1398680E-03  -0.1398680E-03
  0.3150000E+02  -0.1419895E-03  -0.1419895E-03  -0.1419895E-03
  0.3250000E+02  -0.1436868E-03  -0.1436868E-03  -0.1436868E-03
  0.3350000E+02  -0.1450371E-03  -0.1450371E-03  -0.1450371E-03
  0.3450000E+02  -0.1461064E-03  -0.1461064E-03  -0.1461064E-03
  0.3550000E+02  -0.1469501E-03  -0.1469501E-03  -0.1469501E-03
  0.3650000E+02  -0.1476140E-03  -0.1476140E-03  -0.1476140E-03
  0.3750000E+02  -0.1481352E-03  -0.1481352E-03  -0.1481352E-03
  0.3850000E+02  -0.1485437E-03  -0.1485437E-03  -0.1485437E-03
  0.3950000E+02  -0.1488634E-03  -0.1488634E-03  -0.1488634E-03
  0.4050000E+02  -0.1491133E-03  -0.1491133E-03  -0.1491133E-03
  0.4150000E+02  -0.1493086E-03  -0.1493085E-03  -0.1493086E-03
  0.4250000E+02  -0.1494610E-03  -0.1494609E-03  -0.1494610E-03
  0.4350000E+02  -0.1495799E-03  -0.1495798E-03  -0.1495799E-03
  0.4450000E+02  -0.1496726E-03  -0.1496725E-03  -0.1496726E-03
  0.4550000E+02  -0.1497449E-03  -0.1497448E-03  -0.1497449E-03
  0.4650000E+02  -0.1498012E-03  -0.1498011E-03  -0.1498012E-03
  0.4750000E+02  -0.1498451E-03  -0.1498450E-03  -0.1498451E-03
  0.4850000E+02  -0.1498794E-03  -0.1498792E-03  -0.1498794E-03
  0.4950000E+02  -0.1499060E-03  -0.1499057E-03  -0.1499060E-03
  0.5050000E+02  -0.1499268E-03  -0.1499263E-03  -0.1499268E-03
  0.5150000E+02  -0.1499429E-03  -0.1499423E-03  -0.1499429E-03
  0.5250000E+02  -0.1499555E-03  -0.1499546E-03  -0.1499555E-03
  0.5350000E+02  -0.1499653E-03  -0.1499640E-03  -0.1499653E-03
  0.5450000E+02  -0.1499729E-03  -0.1499710E-03  -0.1499729E-03
  0.5550000E+02  -0.1499788E-03  -0.1499761E-03  -0.1499788E-03
  0.5650000E+02  -0.1499834E-03  -0.1499795E-03  -0.1499833E-03
  0.5750000E+02  -0.1499869E-03  -0.1499815E-03  -0.1499868E-03
  0.5850000E+02  -0.1499896E-03  -0.1499821E-03  -0.1499894E-03
  0.5950000E+02  -0.1499917E-03  -0.1499814E-03  -0.1499914E-03
  0.6050000E+02  -0.1499933E-03  -0.1499791E-03  -0.1499928E-03
  0.6150000E+02  -0.1499945E-03  -0.1499751E-03  -0.1499937E-03
  0.6250000E+02  -0.1499953E-03  -0.1499692E-03  -0.1499942E-03
  0.6350000E+02  -0.1499958E-03  -0.1499608E-03  -0.1499942E-03
  0.6450000E+02  -0.1499961E-03  -0.1499496E-03  -0.1499938E-03
  0.6550000E+02  -0.1499962E-03  -0.1499349E-03  -0.1499929E-03
  0.6650000E+02  -0.1499960E-03  -0.1499158E-03  -0.1499915E-03
  0.6750000E+02  -0.1499957E-03  -0.1498914E-03  -0.1499895E-03
  0.6850000E+02  -0.1499951E-03  -0.1498605E-03  -0.1499866E-03
  0.6950000E+02  -0.1499942E-03  -0.1498218E-03  -0.1499828E-03
  0.7050000E+02  -0.1499931E-03  -0.1497735E-03  -0.1499776E-03
  0.7150000E+02  -0.1499916E-03  -0.1497139E-03  -0.1499709E-03
  0.7250000E+02  -0.1499896E-03  -0.1496407E-03  -0.1499622E-03
  0.7350000E+02  -0.1499872E-03  -0.1495514E-03  -0.1499510E-03
  0.7450000E+02  -0.1499841E-03  -0.1494431E-03  -0.1499367E-03
  0.7550000E+02  -0.1499802E-03  -0.1493125E-03  -0.1499184E-03
  0.7650000E+02  -0.1499754E-03  -0.1491560E-03  -0.1498953E-03
  0.7750000E+02  -0.1499694E-03  -0.1489695E-03  -0.1498662E-03
  0.7850000E+02  -0.1499619E-03  -0.1487483E-03  -0.1498297E-03
  0.7950000E+02  -0.1499526E-03  -0.1484873E-03  -0.1497842E-03
  0.8050000E+02  -0.1499410E-03  -0.1481808E-03  -0.1497277E-03
  0.8150000E+02  -0.1499267E-03  -0.1478227E-03  -0.1496579E-03
