             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00  -0.3042820E-06  -0.1570551E-06  -0.1628262E-06
  0.1500000E+01  -0.2973404E-06  -0.1553986E-06  -0.1612514E-06
  0.2500000E+01  -0.2905549E-06  -0.1539855E-06  -0.1596898E-06
  0.3500000E+01  -0.2839231E-06  -0.1527730E-06  -0.1581420E-06
  0.4500000E+01  -0.2774427E-06  -0.1517259E-06  -0.1566083E-06
  0.5500000E+01  -0.2711117E-06  -0.1508146E-06  -0.1550892E-06
  0.6500000E+01  -0.2649280E-06  -0.1500147E-06  -0.1535851E-06
  0.7500000E+01  -0.2588895E-06  -0.1493057E-06  -0.1520963E-06
  0.8500000E+01  -0.2529942E-06  -0.1486708E-06  -0.1506233E-06
  0.9500000E+01  -0.2472399E-06  -0.1480958E-06  -0.1491661E-06
  0.1050000E+02  -0.2416245E-06  -0.1475691E-06  -0.1477252E-06
  0.1150000E+02  -0.2361459E-06  -0.1463006E-06  -0.1463006E-06
  0.1250000E+02  -0.2308016E-06  -0.1448926E-06  -0.1448926E-06
  0.1350000E+02  -0.2255895E-06  -0.1435014E-06  -0.1435014E-06
  0.1450000E+02  -0.2205072E-06  -0.1421271E-06  -0.1421271E-06
  0.1550000E+02  -0.2155522E-06  -0.1407698E-06  -0.1407698E-06
  0.1650000E+02  -0.2107222E-06  -0.1394295E-06  -0.1394295E-06
  0.1750000E+02  -0.2060148E-06  -0.1381064E-06  -0.1381064E-06
  0.1850000E+02  -0.2014273E-06  -0.1368005E-06  -0.1368005E-06
  0.1950000E+02  -0.1969573E-06  -0.1355118E-06  -0.1355118E-06
  0.2050000E+02  -0.1926023E-06  -0.1342404E-06  -0.1342404E-06
  0.2150000E+02  -0.1883598E-06  -0.1329861E-06  -0.1329861E-06
  0.2250000E+02  -0.1842272E-06  -0.1317491E-06  -0.1317491E-06
  0.2350000E+02  -0.1802021E-06  -0.1305292E-06  -0.1305292E-06
  0.2450000E+02  -0.1762819E-06  -0.1293264E-06  -0.1293264E-06
  0.2550000E+02  -0.1724641E-06  -0.1281407E-06  -0.1281407E-06
  0.2650000E+02  -0.1687463E-06  -0.1269719E-06  -0.1269719E-06
  0.2750000E+02  -0.1651261E-06  -0.1258200E-06  -0.1258200E-06
  0.2850000E+02  -0.1616010E-06  -0.1246849E-06  -0.1246849E-06
  0.2950000E+02  -0.1581687E-06  -0.1235665E-06  -0.1235665E-06
  0.3050000E+02  -0.1548268E-06  -0.1224647E-06  -0.1224647E-06
  0.3150000E+02  -0.1515730E-06  -0.1213793E-06  -0.1213793E-06
  0.3250000E+02  -0.1484051E-06  -0.1203102E-06  -0.1203102E-06
  0.3350000E+02  -0.1453207E-06  -0.1192573E-06  -0.1192573E-06
  0.3450000E+02  -0.1423178E-06  -0.1182205E-06  -0.1182205E-06
  0.3550000E+02  -0.1393942E-06  -0.1171995E-06  -0.1171995E-06
  0.3650000E+02  -0.1380972E-06  -0.1161944E-06  -0.1161944E-06
  0.3750000E+02  -0.1377862E-06  -0.1152048E-06  -0.1152048E-06
  0.3850000E+02  -0.1374793E-06  -0.1142307E-06  -0.1142307E-06
  0.3950000E+02  -0.1371768E-06  -0.1132718E-06  -0.1132718E-06
  0.4050000E+02  -0.1368787E-06  -0.1123281E-06  -0.1123281E-06
  0.4150000E+02  -0.1365851E-06  -0.1113993E-06  -0.1113993E-06
  0.4250000E+02  -0.1362960E-06  -0.1104853E-06  -0.1104853E-06
  0.4350000E+02  -0.1360115E-06  -0.1095859E-06  -0.1095859E-06
  0.4450000E+02  -0.1357316E-06  -0.1087010E-06  -0.1087010E-06
  0.4550000E+02  -0.1354563E-06  -0.1078303E-06  -0.1078303E-06
  0.4650000E+02  -0.1351857E-06  -0.1069737E-06  -0.1069737E-06
  0.4750000E+02  -0.1349197E-06  -0.1061310E-06  -0.1061310E-06
  0.4850000E+02  -0.1346583E-06  -0.1053021E-06  -0.1053021E-06
  0.4950000E+02  -0.1344015E-06  -0.1044867E-06  -0.1044867E-06
  0.5050000E+02  -0.1341494E-06  -0.1036847E-06  -0.1036847E-06
  0.5150000E+02  -0.1339018E-06  -0.1018206E-06  -0.1028959E-06
  0.5250000E+02  -0.1336588E-06  -0.9995946E-07  -0.1021202E-06
  0.5350000E+02  -0.1334203E-06  -0.9814646E-07  -0.1013573E-06
  0.5450000E+02  -0.1331863E-06  -0.9638028E-07  -0.1006071E-06
  0.5550000E+02  -0.1329567E-06  -0.9465961E-07  -0.9986937E-07
  0.5650000E+02  -0.1327316E-06  -0.9298319E-07  -0.9914400E-07
  0.5750000E+02  -0.1325109E-06  -0.9134977E-07  -0.9843080E-07
