             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00  -0.9230197E-06   0.2945802E-05  -0.8975712E-06
  0.1500000E+01  -0.1274631E-05   0.2782282E-05  -0.1182434E-05
  0.2500000E+01  -0.1701181E-05   0.2544745E-05  -0.1551281E-05
  0.3500000E+01  -0.2231312E-05   0.2210150E-05  -0.2027438E-05
  0.4500000E+01  -0.2897459E-05   0.1749547E-05  -0.2640163E-05
  0.5500000E+01  -0.3738081E-05   0.1126861E-05  -0.3425858E-05
  0.6500000E+01  -0.4799442E-05   0.2976119E-06  -0.4429349E-05
  0.7500000E+01  -0.6137096E-05  -0.7923025E-06  -0.5705106E-05
  0.8500000E+01  -0.7816953E-05  -0.2207543E-05  -0.7318172E-05
  0.9500000E+01  -0.9915650E-05  -0.4023611E-05  -0.9344448E-05
  0.1050000E+02  -0.1251970E-04  -0.6325966E-05  -0.1186980E-04
  0.1150000E+02  -0.1572275E-04  -0.9207253E-05  -0.1498731E-04
  0.1250000E+02  -0.1962015E-04  -0.1276186E-04  -0.1879179E-04
  0.1350000E+02  -0.2430007E-04  -0.1707705E-04  -0.2337092E-04
  0.1450000E+02  -0.2983087E-04  -0.2222034E-04  -0.2879263E-04
  0.1550000E+02  -0.3624535E-04  -0.2822373E-04  -0.3508930E-04
  0.1650000E+02  -0.4352397E-04  -0.3506700E-04  -0.4224105E-04
  0.1750000E+02  -0.5158073E-04  -0.4266361E-04  -0.5016156E-04
  0.1850000E+02  -0.6025675E-04  -0.5085426E-04  -0.5869170E-04
  0.1950000E+02  -0.6932579E-04  -0.5941249E-04  -0.6760503E-04
  0.2050000E+02  -0.7851356E-04  -0.6806394E-04  -0.7662712E-04
  0.2150000E+02  -0.8752811E-04  -0.7651681E-04  -0.8546596E-04
  0.2250000E+02  -0.9609448E-04  -0.8449640E-04  -0.9384657E-04
  0.2350000E+02  -0.1039851E-03  -0.9177555E-04  -0.1015414E-03
  0.2450000E+02  -0.1110392E-03  -0.9819388E-04  -0.1083898E-03
  0.2550000E+02  -0.1171680E-03  -0.1036633E-03  -0.1143030E-03
  0.2650000E+02  -0.1223486E-03  -0.1081615E-03  -0.1192583E-03
  0.2750000E+02  -0.1266098E-03  -0.1117181E-03  -0.1232848E-03
  0.2850000E+02  -0.1300153E-03  -0.1143973E-03  -0.1264461E-03
  0.2950000E+02  -0.1326476E-03  -0.1162829E-03  -0.1288251E-03
  0.3050000E+02  -0.1345959E-03  -0.1174651E-03  -0.1305114E-03
  0.3150000E+02  -0.1359469E-03  -0.1180318E-03  -0.1315918E-03
  0.3250000E+02  -0.1367794E-03  -0.1180631E-03  -0.1321456E-03
  0.3350000E+02  -0.1371613E-03  -0.1176288E-03  -0.1322411E-03
  0.3450000E+02  -0.1371491E-03  -0.1167872E-03  -0.1319355E-03
  0.3550000E+02  -0.1367879E-03  -0.1155856E-03  -0.1312744E-03
  0.3650000E+02  -0.1361123E-03  -0.1140610E-03  -0.1302931E-03
  0.3750000E+02  -0.1351478E-03  -0.1122416E-03  -0.1290181E-03
  0.3850000E+02  -0.1339119E-03  -0.1101478E-03  -0.1274676E-03
  0.3950000E+02  -0.1324151E-03  -0.1077936E-03  -0.1256536E-03
  0.4050000E+02  -0.1306625E-03  -0.1051876E-03  -0.1235822E-03
  0.4150000E+02  -0.1286543E-03  -0.1023340E-03  -0.1212551E-03
