             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00  -0.1291354E-03  -0.3261945E-04  -0.5651862E-04
  0.1500000E+01  -0.1436096E-03  -0.3845438E-04  -0.6505944E-04
  0.2500000E+01  -0.1595642E-03  -0.4520524E-04  -0.7473861E-04
  0.3500000E+01  -0.1771313E-03  -0.5299360E-04  -0.8568488E-04
  0.4500000E+01  -0.1964521E-03  -0.6195372E-04  -0.9803840E-04
  0.5500000E+01  -0.2176782E-03  -0.7223344E-04  -0.1119514E-03
  0.6500000E+01  -0.2409709E-03  -0.8399498E-04  -0.1275888E-03
  0.7500000E+01  -0.2665026E-03  -0.9741583E-04  -0.1451288E-03
  0.8500000E+01  -0.2944566E-03  -0.1126896E-03  -0.1647636E-03
  0.9500000E+01  -0.3250276E-03  -0.1300267E-03  -0.1866997E-03
  0.1050000E+02  -0.3584221E-03  -0.1496554E-03  -0.2111588E-03
  0.1150000E+02  -0.3948589E-03  -0.1718222E-03  -0.2383780E-03
  0.1250000E+02  -0.4345689E-03  -0.1967929E-03  -0.2686105E-03
  0.1350000E+02  -0.4777961E-03  -0.2248529E-03  -0.3021259E-03
  0.1450000E+02  -0.5247970E-03  -0.2563078E-03  -0.3392105E-03
  0.1550000E+02  -0.5758416E-03  -0.2914841E-03  -0.3801678E-03
  0.1650000E+02  -0.6312128E-03  -0.3307295E-03  -0.4253185E-03
  0.1750000E+02  -0.6912073E-03  -0.3744128E-03  -0.4750007E-03
  0.1850000E+02  -0.7561348E-03  -0.4229246E-03  -0.5295703E-03
  0.1950000E+02  -0.8263187E-03  -0.4766770E-03  -0.5894005E-03
  0.2050000E+02  -0.9020956E-03  -0.5361037E-03  -0.6548819E-03
  0.2150000E+02  -0.9838153E-03  -0.6016595E-03  -0.7264224E-03
  0.2250000E+02  -0.1071841E-02  -0.6738204E-03  -0.8044466E-03
  0.2350000E+02  -0.1166548E-02  -0.7530827E-03  -0.8893959E-03
  0.2450000E+02  -0.1268324E-02  -0.8399622E-03  -0.9817273E-03
  0.2550000E+02  -0.1377569E-02  -0.9349940E-03  -0.1081913E-02
  0.2650000E+02  -0.1494695E-02  -0.1038731E-02  -0.1190441E-02
  0.2750000E+02  -0.1620124E-02  -0.1151742E-02  -0.1307810E-02
  0.2850000E+02  -0.1754289E-02  -0.1274614E-02  -0.1434535E-02
  0.2950000E+02  -0.1897631E-02  -0.1407944E-02  -0.1571139E-02
