             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.3841580E-06   0.5932145E-05   0.3092284E-05
  0.1500000E+01   0.5022240E-06   0.6533206E-05   0.3419187E-05
  0.2500000E+01   0.6405255E-06   0.7183502E-05   0.3777259E-05
  0.3500000E+01   0.7998931E-06   0.7886020E-05   0.4169082E-05
  0.4500000E+01   0.9812129E-06   0.8643869E-05   0.4597413E-05
  0.5500000E+01   0.1185529E-05   0.9460281E-05   0.5065193E-05
  0.6500000E+01   0.1414125E-05   0.1033862E-04   0.5575558E-05
  0.7500000E+01   0.1668594E-05   0.1128239E-04   0.6131850E-05
  0.8500000E+01   0.1950882E-05   0.1229521E-04   0.6737619E-05
  0.9500000E+01   0.2263322E-05   0.1338089E-04   0.7396642E-05
  0.1050000E+02   0.2608663E-05   0.1454335E-04   0.8112925E-05
  0.1150000E+02   0.2990081E-05   0.1578668E-04   0.8890718E-05
  0.1250000E+02   0.3411195E-05   0.1711514E-04   0.9734522E-05
  0.1350000E+02   0.3876081E-05   0.1853314E-04   0.1064910E-04
  0.1450000E+02   0.4389278E-05   0.2004529E-04   0.1163949E-04
  0.1550000E+02   0.4955804E-05   0.2165636E-04   0.1271100E-04
  0.1650000E+02   0.5581160E-05   0.2337131E-04   0.1386926E-04
  0.1750000E+02   0.6271350E-05   0.2519532E-04   0.1512015E-04
  0.1850000E+02   0.7032888E-05   0.2713372E-04   0.1646992E-04
  0.1950000E+02   0.7872810E-05   0.2919210E-04   0.1792509E-04
  0.2050000E+02   0.8798691E-05   0.3137624E-04   0.1949255E-04
  0.2150000E+02   0.9818650E-05   0.3369214E-04   0.2117951E-04
  0.2250000E+02   0.1094137E-04   0.3614602E-04   0.2299351E-04
  0.2350000E+02   0.1217608E-04   0.3874436E-04   0.2494247E-04
  0.2450000E+02   0.1353263E-04   0.4149384E-04   0.2703468E-04
  0.2550000E+02   0.1502141E-04   0.4440143E-04   0.2927876E-04
  0.2650000E+02   0.1665341E-04   0.4747431E-04   0.3168375E-04
  0.2750000E+02   0.1844022E-04   0.5071993E-04   0.3425905E-04
  0.2850000E+02   0.2039402E-04   0.5414602E-04   0.3701443E-04
  0.2950000E+02   0.2252758E-04   0.5776055E-04   0.3996009E-04
  0.3050000E+02   0.2485426E-04   0.6157177E-04   0.4310660E-04
  0.3150000E+02   0.2738800E-04   0.6558820E-04   0.4646491E-04
  0.3250000E+02   0.3014334E-04   0.6981864E-04   0.5004640E-04
  0.3350000E+02   0.3313536E-04   0.7427217E-04   0.5386283E-04
  0.3450000E+02   0.3637973E-04   0.7895815E-04   0.5792634E-04
  0.3550000E+02   0.3989264E-04   0.8388621E-04   0.6224949E-04
  0.3650000E+02   0.4369085E-04   0.8906628E-04   0.6684521E-04
  0.3750000E+02   0.4779163E-04   0.9450856E-04   0.7172682E-04
  0.3850000E+02   0.5221273E-04   0.1002235E-03   0.7690802E-04
  0.3950000E+02   0.5697241E-04   0.1062220E-03   0.8240286E-04
  0.4050000E+02   0.6208940E-04   0.1125149E-03   0.8822575E-04
  0.4150000E+02   0.6758285E-04   0.1191137E-03   0.9439147E-04
  0.4250000E+02   0.7347235E-04   0.1260299E-03   0.1009151E-03
  0.4350000E+02   0.7977788E-04   0.1332753E-03   0.1078120E-03
  0.4450000E+02   0.8651976E-04   0.1408620E-03   0.1150980E-03
  0.4550000E+02   0.9371867E-04   0.1488024E-03   0.1227890E-03
  0.4650000E+02   0.1013956E-03   0.1571091E-03   0.1309012E-03
  0.4750000E+02   0.1095718E-03   0.1657948E-03   0.1394512E-03
  0.4850000E+02   0.1182686E-03   0.1748726E-03   0.1484555E-03
  0.4950000E+02   0.1275079E-03   0.1843557E-03   0.1579311E-03
  0.5050000E+02   0.1373113E-03   0.1942574E-03   0.1678950E-03
  0.5150000E+02   0.1477008E-03   0.2045915E-03   0.1783644E-03
  0.5250000E+02   0.1586983E-03   0.2153715E-03   0.1893563E-03
  0.5350000E+02   0.1703257E-03   0.2266113E-03   0.2008882E-03
  0.5450000E+02   0.1826050E-03   0.2383250E-03   0.2129773E-03
  0.5550000E+02   0.1955579E-03   0.2505265E-03   0.2256409E-03
  0.5650000E+02   0.2092061E-03   0.2632299E-03   0.2388961E-03
  0.5750000E+02   0.2235708E-03   0.2764495E-03   0.2527601E-03
  0.5850000E+02   0.2386731E-03   0.2901993E-03   0.2672499E-03
  0.5950000E+02   0.2545337E-03   0.3044936E-03   0.2823822E-03
  0.6050000E+02   0.2711728E-03   0.3193465E-03   0.2981734E-03
  0.6150000E+02   0.2886102E-03   0.3347719E-03   0.3146399E-03
  0.6250000E+02   0.3068649E-03   0.3507839E-03   0.3317975E-03
  0.6350000E+02   0.3259554E-03   0.3673961E-03   0.3496616E-03
  0.6450000E+02   0.3458994E-03   0.3846222E-03   0.3682474E-03
  0.6550000E+02   0.3667138E-03   0.4024757E-03   0.3875694E-03
  0.6650000E+02   0.3884146E-03   0.4209696E-03   0.4076417E-03
  0.6750000E+02   0.4110167E-03   0.4401168E-03   0.4284775E-03
  0.6850000E+02   0.4345342E-03   0.4599298E-03   0.4500898E-03
  0.6950000E+02   0.4589797E-03   0.4804208E-03   0.4724904E-03
  0.7050000E+02   0.4843648E-03   0.5016015E-03   0.4956909E-03
  0.7150000E+02   0.5107000E-03   0.5234832E-03   0.5197015E-03
  0.7250000E+02   0.5379940E-03   0.5460767E-03   0.5445320E-03
  0.7350000E+02   0.5662545E-03   0.5701911E-03   0.5701911E-03
  0.7450000E+02   0.5934396E-03   0.5966864E-03   0.5966864E-03
  0.7550000E+02   0.6182276E-03   0.6256972E-03   0.6240248E-03
  0.7650000E+02   0.6437648E-03   0.6568868E-03   0.6522119E-03
  0.7750000E+02   0.6700588E-03   0.6890572E-03   0.6812523E-03
  0.7850000E+02   0.6971165E-03   0.7222081E-03   0.7111494E-03
  0.7950000E+02   0.7249439E-03   0.7563370E-03   0.7419053E-03
  0.8050000E+02   0.7535464E-03   0.7914399E-03   0.7735211E-03
  0.8150000E+02   0.7829283E-03   0.8275109E-03   0.8059965E-03
  0.8250000E+02   0.8130930E-03   0.8645421E-03   0.8393298E-03
  0.8350000E+02   0.8440430E-03   0.9025238E-03   0.8735182E-03
  0.8450000E+02   0.8757797E-03   0.9414446E-03   0.9085573E-03
  0.8550000E+02   0.9083036E-03   0.9812909E-03   0.9444414E-03
  0.8650000E+02   0.9416139E-03   0.1022047E-02   0.9811634E-03
  0.8750000E+02   0.9757089E-03   0.1063696E-02   0.1018715E-02
  0.8850000E+02   0.1010586E-02   0.1106219E-02   0.1057085E-02
