             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.1784958E-06   0.2032361E-06   0.1887921E-06
  0.1500000E+01   0.2068343E-06   0.2249216E-06   0.2168099E-06
  0.2500000E+01   0.2381161E-06   0.2515924E-06   0.2482834E-06
  0.3500000E+01   0.2725823E-06   0.2836740E-06   0.2835469E-06
  0.4500000E+01   0.3105040E-06   0.3229573E-06   0.3229573E-06
  0.5500000E+01   0.3521834E-06   0.3668950E-06   0.3668950E-06
  0.6500000E+01   0.3979546E-06   0.4176691E-06   0.4157641E-06
  0.7500000E+01   0.4481847E-06   0.4769029E-06   0.4699933E-06
  0.8500000E+01   0.5032744E-06   0.5444770E-06   0.5300364E-06
  0.9500000E+01   0.5636587E-06   0.6210390E-06   0.5963730E-06
  0.1050000E+02   0.6298071E-06   0.7072331E-06   0.6695087E-06
  0.1150000E+02   0.7022247E-06   0.8036928E-06   0.7499757E-06
  0.1250000E+02   0.7814520E-06   0.9110359E-06   0.8383333E-06
  0.1350000E+02   0.8680660E-06   0.1029861E-05   0.9351679E-06
  0.1450000E+02   0.9626794E-06   0.1160748E-05   0.1041093E-05
  0.1550000E+02   0.1065942E-05   0.1304256E-05   0.1156751E-05
  0.1650000E+02   0.1178539E-05   0.1460927E-05   0.1282811E-05
  0.1750000E+02   0.1301193E-05   0.1631288E-05   0.1419969E-05
  0.1850000E+02   0.1434662E-05   0.1815859E-05   0.1568951E-05
  0.1950000E+02   0.1579739E-05   0.2015155E-05   0.1730509E-05
  0.2050000E+02   0.1737255E-05   0.2229693E-05   0.1905421E-05
  0.2150000E+02   0.1908072E-05   0.2459996E-05   0.2094495E-05
  0.2250000E+02   0.2093086E-05   0.2706606E-05   0.2298564E-05
  0.2350000E+02   0.2293228E-05   0.2970079E-05   0.2518486E-05
  0.2450000E+02   0.2509458E-05   0.3250998E-05   0.2755145E-05
  0.2550000E+02   0.2742766E-05   0.3549976E-05   0.3009451E-05
  0.2650000E+02   0.2994172E-05   0.3867659E-05   0.3282335E-05
  0.2750000E+02   0.3264724E-05   0.4204726E-05   0.3574755E-05
  0.2850000E+02   0.3555492E-05   0.4561898E-05   0.3887686E-05
  0.2950000E+02   0.3867573E-05   0.4939934E-05   0.4222129E-05
  0.3050000E+02   0.4202084E-05   0.5339632E-05   0.4579100E-05
  0.3150000E+02   0.4560165E-05   0.5761832E-05   0.4959636E-05
  0.3250000E+02   0.4942970E-05   0.6207414E-05   0.5364792E-05
  0.3350000E+02   0.5351672E-05   0.6677295E-05   0.5795635E-05
  0.3450000E+02   0.5787458E-05   0.7172428E-05   0.6253249E-05
  0.3550000E+02   0.6251525E-05   0.7693801E-05   0.6738729E-05
  0.3650000E+02   0.6745083E-05   0.8242432E-05   0.7253182E-05
  0.3750000E+02   0.7269347E-05   0.8819370E-05   0.7797721E-05
  0.3850000E+02   0.7825540E-05   0.9425684E-05   0.8373470E-05
  0.3950000E+02   0.8414886E-05   0.1006247E-04   0.8981554E-05
  0.4050000E+02   0.9038613E-05   0.1073083E-04   0.9623105E-05
  0.4150000E+02   0.9697946E-05   0.1143189E-04   0.1029925E-04
  0.4250000E+02   0.1039411E-04   0.1216678E-04   0.1101113E-04
  0.4350000E+02   0.1112832E-04   0.1293663E-04   0.1175986E-04
  0.4450000E+02   0.1190179E-04   0.1374258E-04   0.1254657E-04
  0.4550000E+02   0.1271572E-04   0.1458576E-04   0.1337237E-04
  0.4650000E+02   0.1357129E-04   0.1546728E-04   0.1423836E-04
  0.4750000E+02   0.1446970E-04   0.1638826E-04   0.1514564E-04
  0.4850000E+02   0.1541208E-04   0.1734978E-04   0.1609529E-04
  0.4950000E+02   0.1639959E-04   0.1835292E-04   0.1708836E-04
  0.5050000E+02   0.1743335E-04   0.1939871E-04   0.1812591E-04
  0.5150000E+02   0.1851445E-04   0.2048817E-04   0.1920895E-04
  0.5250000E+02   0.1964396E-04   0.2162228E-04   0.2033847E-04
  0.5350000E+02   0.2082294E-04   0.2280198E-04   0.2151547E-04
  0.5450000E+02   0.2205240E-04   0.2402820E-04   0.2274087E-04
  0.5550000E+02   0.2333332E-04   0.2530178E-04   0.2401559E-04
  0.5650000E+02   0.2466666E-04   0.2662355E-04   0.2534051E-04
  0.5750000E+02   0.2605333E-04   0.2799429E-04   0.2671650E-04
  0.5850000E+02   0.2749419E-04   0.2941473E-04   0.2814434E-04
  0.5950000E+02   0.2899010E-04   0.3088554E-04   0.2962483E-04
  0.6050000E+02   0.3054185E-04   0.3240734E-04   0.3115868E-04
  0.6150000E+02   0.3215017E-04   0.3398071E-04   0.3274661E-04
  0.6250000E+02   0.3381578E-04   0.3560617E-04   0.3438924E-04
  0.6350000E+02   0.3553932E-04   0.3728418E-04   0.3608718E-04
  0.6450000E+02   0.3732140E-04   0.3901516E-04   0.3784098E-04
  0.6550000E+02   0.3916255E-04   0.4079946E-04   0.3965116E-04
  0.6650000E+02   0.4106329E-04   0.4263738E-04   0.4151816E-04
  0.6750000E+02   0.4302404E-04   0.4452917E-04   0.4344239E-04
  0.6850000E+02   0.4504518E-04   0.4647502E-04   0.4542419E-04
  0.6950000E+02   0.4712703E-04   0.4847507E-04   0.4746386E-04
  0.7050000E+02   0.4926984E-04   0.5052940E-04   0.4956164E-04
  0.7150000E+02   0.5147382E-04   0.5263807E-04   0.5171771E-04
  0.7250000E+02   0.5373908E-04   0.5480103E-04   0.5393220E-04
  0.7350000E+02   0.5606570E-04   0.5701825E-04   0.5620517E-04
  0.7450000E+02   0.5845368E-04   0.5928958E-04   0.5853664E-04
  0.7550000E+02   0.6090294E-04   0.6161489E-04   0.6092655E-04
  0.7650000E+02   0.6337479E-04   0.6399395E-04   0.6337479E-04
