             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.2021336E-09   0.3793003E-09   0.3113822E-09
  0.1500000E+01   0.2985196E-09   0.3463466E-09   0.3343647E-09
  0.2500000E+01   0.3410897E-09   0.4000187E-09   0.3646858E-09
  0.3500000E+01   0.3564559E-09   0.4982387E-09   0.4032362E-09
  0.4500000E+01   0.3899804E-09   0.5883667E-09   0.4512224E-09
  0.5500000E+01   0.4416792E-09   0.6694422E-09   0.5101906E-09
  0.6500000E+01   0.5130861E-09   0.7434762E-09   0.5820639E-09
  0.7500000E+01   0.6067697E-09   0.8143020E-09   0.6691926E-09
  0.8500000E+01   0.7260533E-09   0.8866754E-09   0.7744168E-09
  0.9500000E+01   0.8748197E-09   0.9657812E-09   0.9011413E-09
  0.1050000E+02   0.1053422E-08   0.1057351E-08   0.1053422E-08
  0.1150000E+02   0.1166528E-08   0.1278184E-08   0.1236070E-08
  0.1250000E+02   0.1300678E-08   0.1541985E-08   0.1454760E-08
  0.1350000E+02   0.1467276E-08   0.1853441E-08   0.1716167E-08
  0.1450000E+02   0.1675673E-08   0.2217198E-08   0.2028111E-08
  0.1550000E+02   0.1937438E-08   0.2637826E-08   0.2399715E-08
  0.1650000E+02   0.2267074E-08   0.3119850E-08   0.2841595E-08
  0.1750000E+02   0.2682863E-08   0.3667821E-08   0.3366055E-08
  0.1850000E+02   0.3207882E-08   0.4286446E-08   0.3987311E-08
  0.1950000E+02   0.3871194E-08   0.4980754E-08   0.4721735E-08
  0.2050000E+02   0.4709250E-08   0.5756308E-08   0.5588118E-08
  0.2150000E+02   0.5767500E-08   0.6619429E-08   0.6607967E-08
  0.2250000E+02   0.7102225E-08   0.7805816E-08   0.7805816E-08
  0.2350000E+02   0.8639027E-08   0.9209570E-08   0.9209570E-08
  0.2450000E+02   0.9814320E-08   0.1089260E-07   0.1085088E-07
  0.2550000E+02   0.1111538E-07   0.1353376E-07   0.1276552E-07
  0.2650000E+02   0.1255641E-07   0.1682693E-07   0.1499387E-07
  0.2750000E+02   0.1415409E-07   0.2091460E-07   0.1758131E-07
  0.2850000E+02   0.1592792E-07   0.2596273E-07   0.2057876E-07
  0.2950000E+02   0.1790059E-07   0.3216216E-07   0.2404321E-07
  0.3050000E+02   0.2009839E-07   0.3972948E-07   0.2803824E-07
  0.3150000E+02   0.2255169E-07   0.4890718E-07   0.3263468E-07
  0.3250000E+02   0.2529543E-07   0.5996298E-07   0.3791121E-07
  0.3350000E+02   0.2836969E-07   0.7318819E-07   0.4395505E-07
  0.3450000E+02   0.3182034E-07   0.8889530E-07   0.5086266E-07
  0.3550000E+02   0.3569979E-07   0.1074145E-06   0.5874055E-07
  0.3650000E+02   0.4006776E-07   0.1290898E-06   0.6770601E-07
  0.3750000E+02   0.4499219E-07   0.1542738E-06   0.7788802E-07
  0.3850000E+02   0.5055025E-07   0.1833234E-06   0.8942808E-07
  0.3950000E+02   0.5682945E-07   0.2165938E-06   0.1024812E-06
  0.4050000E+02   0.6392884E-07   0.2544345E-06   0.1172168E-06
  0.4150000E+02   0.7196033E-07   0.2971841E-06   0.1338197E-06
  0.4250000E+02   0.8105018E-07   0.3451671E-06   0.1524915E-06
  0.4350000E+02   0.9134053E-07   0.3986909E-06   0.1734511E-06
  0.4450000E+02   0.1029911E-06   0.4580443E-06   0.1969364E-06
  0.4550000E+02   0.1161809E-06   0.5234972E-06   0.2232051E-06
  0.4650000E+02   0.1311105E-06   0.5953010E-06   0.2525363E-06
  0.4750000E+02   0.1480036E-06   0.6736912E-06   0.2852311E-06
  0.4850000E+02   0.1671094E-06   0.7588895E-06   0.3216148E-06
  0.4950000E+02   0.1887050E-06   0.8511085E-06   0.3620374E-06
  0.5050000E+02   0.2130973E-06   0.9505559E-06   0.4068754E-06
  0.5150000E+02   0.2406258E-06   0.1057440E-05   0.4565328E-06
  0.5250000E+02   0.2716648E-06   0.1171974E-05   0.5114430E-06
  0.5350000E+02   0.3066260E-06   0.1294383E-05   0.5720697E-06
  0.5450000E+02   0.3459609E-06   0.1424910E-05   0.6389084E-06
  0.5550000E+02   0.3901633E-06   0.1563819E-05   0.7124881E-06
  0.5650000E+02   0.4397716E-06   0.1711403E-05   0.7933722E-06
  0.5750000E+02   0.4953715E-06   0.1867986E-05   0.8821603E-06
  0.5850000E+02   0.5575980E-06   0.2033931E-05   0.9794890E-06
  0.5950000E+02   0.6271377E-06   0.2209639E-05   0.1086034E-05
  0.6050000E+02   0.7047306E-06   0.2395557E-05   0.1202510E-05
  0.6150000E+02   0.7911726E-06   0.2592179E-05   0.1329675E-05
  0.6250000E+02   0.8873163E-06   0.2800049E-05   0.1468326E-05
  0.6350000E+02   0.9940733E-06   0.3019762E-05   0.1619306E-05
  0.6450000E+02   0.1112415E-05   0.3251968E-05   0.1783501E-05
  0.6550000E+02   0.1243373E-05   0.3497372E-05   0.1961844E-05
  0.6650000E+02   0.1388043E-05   0.3756733E-05   0.2155311E-05
  0.6750000E+02   0.1547579E-05   0.4030871E-05   0.2364927E-05
  0.6850000E+02   0.1723201E-05   0.4320661E-05   0.2591765E-05
  0.6950000E+02   0.1916190E-05   0.4627037E-05   0.2836945E-05
  0.7050000E+02   0.2127889E-05   0.4950990E-05   0.3101634E-05
  0.7150000E+02   0.2359702E-05   0.5293571E-05   0.3387048E-05
  0.7250000E+02   0.2613095E-05   0.5655887E-05   0.3694452E-05
  0.7350000E+02   0.2889593E-05   0.6039102E-05   0.4025160E-05
  0.7450000E+02   0.3190779E-05   0.6444439E-05   0.4380530E-05
  0.7550000E+02   0.3518292E-05   0.6873174E-05   0.4761972E-05
  0.7650000E+02   0.3873828E-05   0.7326637E-05   0.5170940E-05
  0.7750000E+02   0.4259134E-05   0.7806213E-05   0.5608932E-05
  0.7850000E+02   0.4676009E-05   0.8313336E-05   0.6077494E-05
  0.7950000E+02   0.5126298E-05   0.8849490E-05   0.6578214E-05
  0.8050000E+02   0.5611896E-05   0.9416206E-05   0.7112719E-05
  0.8150000E+02   0.6134736E-05   0.1001506E-04   0.7682679E-05
  0.8250000E+02   0.6696795E-05   0.1064767E-04   0.8289800E-05
  0.8350000E+02   0.7300086E-05   0.1131569E-04   0.8935824E-05
  0.8450000E+02   0.7946655E-05   0.1202081E-04   0.9622525E-05
  0.8550000E+02   0.8638579E-05   0.1276476E-04   0.1035171E-04
  0.8650000E+02   0.9377963E-05   0.1354929E-04   0.1112521E-04
  0.8750000E+02   0.1016694E-04   0.1437617E-04   0.1194488E-04
  0.8850000E+02   0.1100764E-04   0.1524719E-04   0.1281261E-04
  0.8950000E+02   0.1190225E-04   0.1616416E-04   0.1373028E-04
  0.9050000E+02   0.1285294E-04   0.1712890E-04   0.1469980E-04
  0.9150000E+02   0.1386188E-04   0.1814324E-04   0.1572310E-04
  0.9250000E+02   0.1493128E-04   0.1920899E-04   0.1680210E-04
  0.9350000E+02   0.1606330E-04   0.2032796E-04   0.1793872E-04
  0.9450000E+02   0.1726014E-04   0.2150198E-04   0.1913488E-04
  0.9550000E+02   0.1852397E-04   0.2273281E-04   0.2039251E-04
  0.9650000E+02   0.1985693E-04   0.2402223E-04   0.2171350E-04
  0.9750000E+02   0.2126117E-04   0.2537198E-04   0.2309973E-04
  0.9850000E+02   0.2273879E-04   0.2678375E-04   0.2455308E-04
  0.9950000E+02   0.2429186E-04   0.2825922E-04   0.2607536E-04
  0.1005000E+03   0.2592244E-04   0.2980000E-04   0.2766839E-04
  0.1015000E+03   0.2763251E-04   0.3140767E-04   0.2933393E-04
  0.1025000E+03   0.2942402E-04   0.3308374E-04   0.3107370E-04
  0.1035000E+03   0.3129887E-04   0.3482968E-04   0.3288938E-04
  0.1045000E+03   0.3325889E-04   0.3664689E-04   0.3478257E-04
  0.1055000E+03   0.3530585E-04   0.3853669E-04   0.3675484E-04
  0.1065000E+03   0.3744143E-04   0.4050034E-04   0.3880769E-04
  0.1075000E+03   0.3966725E-04   0.4253903E-04   0.4094253E-04
