             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00  -0.9999766E-02  -0.1402966E-03  -0.1402966E-03
  0.1500000E+01  -0.9999770E-02  -0.2703715E-10  -0.2703715E-10
  0.2500000E+01  -0.9999774E-02  -0.5368846E-15  -0.5368846E-15
  0.3500000E+01  -0.9999778E-02  -0.4058854E-18  -0.4058854E-18
  0.4500000E+01  -0.9999782E-02  -0.5119174E-20  -0.5119174E-20
  0.5500000E+01  -0.9999786E-02  -0.5460966E-21  -0.5460966E-21
  0.6500000E+01  -0.9999790E-02  -0.2828739E-21  -0.2828739E-21
  0.7500000E+01  -0.9999793E-02  -0.4539076E-21  -0.4539076E-21
  0.8500000E+01  -0.9999797E-02  -0.1573707E-20  -0.1573707E-20
  0.9500000E+01  -0.9999801E-02  -0.8863010E-20  -0.8863010E-20
  0.1050000E+02  -0.9999804E-02  -0.6491188E-19  -0.6491188E-19
  0.1150000E+02  -0.9999808E-02  -0.5214695E-18  -0.5214695E-18
  0.1250000E+02  -0.9999811E-02  -0.4046849E-17  -0.4046849E-17
  0.1350000E+02  -0.9999815E-02  -0.2768092E-16  -0.2768092E-16
  0.1450000E+02  -0.9999818E-02  -0.1567112E-15  -0.1567112E-15
  0.1550000E+02  -0.9999821E-02  -0.7056569E-15  -0.7056569E-15
  0.1650000E+02  -0.9999825E-02  -0.2473676E-14  -0.2473676E-14
  0.1750000E+02  -0.9999828E-02  -0.6702625E-14  -0.6702625E-14
  0.1850000E+02  -0.9999831E-02  -0.1409129E-13  -0.1409129E-13
  0.1950000E+02  -0.9999834E-02  -0.2326192E-13  -0.2326192E-13
  0.2050000E+02  -0.9999837E-02  -0.3069343E-13  -0.3069343E-13
  0.2150000E+02  -0.9999840E-02  -0.3308047E-13  -0.3308047E-13
  0.2250000E+02  -0.9999843E-02  -0.2983210E-13  -0.2983210E-13
  0.2350000E+02  -0.9999846E-02  -0.2308583E-13  -0.2308583E-13
  0.2450000E+02  -0.9999849E-02  -0.1572540E-13  -0.1572540E-13
  0.2550000E+02  -0.9999852E-02  -0.9666148E-14  -0.9666148E-14
