             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.6663187E-11   0.1811454E-10   0.9277592E-11
  0.1500000E+01   0.3263455E-11   0.4350973E-11   0.3605242E-11
  0.2500000E+01   0.1492531E-11   0.1778369E-11   0.1688109E-11
  0.3500000E+01   0.6856901E-12   0.1071619E-11   0.9294469E-12
  0.4500000E+01   0.3995622E-12   0.7094139E-12   0.5888706E-12
  0.5500000E+01   0.2820956E-12   0.5124788E-12   0.4212048E-12
  0.6500000E+01   0.2322089E-12   0.4012473E-12   0.3344485E-12
  0.7500000E+01   0.2158306E-12   0.3381934E-12   0.2904591E-12
  0.8500000E+01   0.2205743E-12   0.3048196E-12   0.2723305E-12
  0.9500000E+01   0.2424894E-12   0.2919005E-12   0.2725164E-12
  0.1050000E+02   0.2816738E-12   0.2951450E-12   0.2881517E-12
  0.1150000E+02   0.3132289E-12   0.3407282E-12   0.3191372E-12
  0.1250000E+02   0.3469504E-12   0.4242411E-12   0.3674046E-12
  0.1350000E+02   0.3989789E-12   0.5386941E-12   0.4367545E-12
  0.1450000E+02   0.4739774E-12   0.6925538E-12   0.5330321E-12
  0.1550000E+02   0.5790172E-12   0.8964615E-12   0.6645500E-12
  0.1650000E+02   0.7242780E-12   0.1163490E-11   0.8427411E-12
  0.1750000E+02   0.9240684E-12   0.1509470E-11   0.1083052E-11
  0.1850000E+02   0.1198232E-11   0.1953413E-11   0.1406116E-11
  0.1950000E+02   0.1574024E-11   0.2518078E-11   0.1839247E-11
  0.2050000E+02   0.2088572E-11   0.3230720E-11   0.2418326E-11
  0.2150000E+02   0.2792026E-11   0.4124124E-11   0.3190134E-11
  0.2250000E+02   0.3751546E-11   0.5237964E-11   0.4215237E-11
  0.2350000E+02   0.5056245E-11   0.6620609E-11   0.5571486E-11
  0.2450000E+02   0.6823202E-11   0.8331481E-11   0.7358269E-11
  0.2550000E+02   0.9204668E-11   0.1044409E-10   0.9701601E-11
  0.2650000E+02   0.1239652E-10   0.1304994E-10   0.1276022E-10
  0.2750000E+02   0.1626349E-10   0.1673283E-10   0.1673283E-10
  0.2850000E+02   0.2022850E-10   0.2227277E-10   0.2186665E-10
  0.2950000E+02   0.2512609E-10   0.2966110E-10   0.2846750E-10
  0.3050000E+02   0.3118498E-10   0.3929333E-10   0.3691166E-10
  0.3150000E+02   0.3869451E-10   0.5175424E-10   0.4765977E-10
  0.3250000E+02   0.4802120E-10   0.6774841E-10   0.6127306E-10
  0.3350000E+02   0.5962976E-10   0.8811632E-10   0.7843234E-10
  0.3450000E+02   0.7410976E-10   0.1138513E-09   0.9996008E-10
  0.3550000E+02   0.9220940E-10   0.1461170E-09   0.1268462E-09
  0.3650000E+02   0.1148782E-09   0.1862665E-09   0.1602780E-09
