             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.3249143E-08   0.2935499E-05   0.9738028E-08
  0.1500000E+01   0.2337738E-08   0.2984991E-05   0.1144464E-07
  0.2500000E+01   0.1823287E-08   0.3037713E-05   0.1338364E-07
  0.3500000E+01   0.1525366E-08   0.3093995E-05   0.1558469E-07
  0.4500000E+01   0.1356143E-08   0.3154169E-05   0.1808174E-07
  0.5500000E+01   0.1270785E-08   0.3218571E-05   0.2091370E-07
  0.6500000E+01   0.1245995E-08   0.3287548E-05   0.2412494E-07
  0.7500000E+01   0.1270149E-08   0.3361456E-05   0.2776607E-07
  0.8500000E+01   0.1338562E-08   0.3440661E-05   0.3189465E-07
  0.9500000E+01   0.1451165E-08   0.3525549E-05   0.3657605E-07
  0.1050000E+02   0.1611399E-08   0.3616520E-05   0.4188442E-07
  0.1150000E+02   0.1825769E-08   0.3713994E-05   0.4790375E-07
  0.1250000E+02   0.2103794E-08   0.3818417E-05   0.5472903E-07
  0.1350000E+02   0.2458207E-08   0.3930258E-05   0.6246759E-07
  0.1450000E+02   0.2905349E-08   0.4050013E-05   0.7124055E-07
  0.1550000E+02   0.3465733E-08   0.4178212E-05   0.8118445E-07
  0.1650000E+02   0.4164750E-08   0.4315419E-05   0.9245302E-07
  0.1750000E+02   0.5033533E-08   0.4462232E-05   0.1052192E-06
  0.1850000E+02   0.6109974E-08   0.4619294E-05   0.1196773E-06
  0.1950000E+02   0.7439913E-08   0.4787288E-05   0.1360454E-06
  0.2050000E+02   0.9078511E-08   0.4966947E-05   0.1545680E-06
  0.2150000E+02   0.1109182E-07   0.5159055E-05   0.1755191E-06
  0.2250000E+02   0.1355858E-07   0.5364451E-05   0.1992051E-06
  0.2350000E+02   0.1657224E-07   0.5584034E-05   0.2259685E-06
  0.2450000E+02   0.2024328E-07   0.5818768E-05   0.2561918E-06
  0.2550000E+02   0.2470180E-07   0.6069685E-05   0.2903016E-06
  0.2650000E+02   0.3010043E-07   0.6337891E-05   0.3287730E-06
  0.2750000E+02   0.3661767E-07   0.6624573E-05   0.3721350E-06
  0.2850000E+02   0.4446151E-07   0.6931003E-05   0.4209757E-06
  0.2950000E+02   0.5387359E-07   0.7258543E-05   0.4759481E-06
  0.3050000E+02   0.6513383E-07   0.7608653E-05   0.5377766E-06
  0.3150000E+02   0.7856556E-07   0.7982900E-05   0.6072642E-06
  0.3250000E+02   0.9454125E-07   0.8382961E-05   0.6852995E-06
  0.3350000E+02   0.1134889E-06   0.8810632E-05   0.7728654E-06
  0.3450000E+02   0.1358992E-06   0.9267838E-05   0.8710476E-06
  0.3550000E+02   0.1623333E-06   0.9756642E-05   0.9810440E-06
  0.3650000E+02   0.1934316E-06   0.1027925E-04   0.1104175E-05
  0.3750000E+02   0.2299232E-06   0.1083802E-04   0.1241894E-05
  0.3850000E+02   0.2726367E-06   0.1143549E-04   0.1395801E-05
  0.3950000E+02   0.3225119E-06   0.1207435E-04   0.1567652E-05
  0.4050000E+02   0.3806124E-06   0.1275751E-04   0.1759377E-05
  0.4150000E+02   0.4481399E-06   0.1348804E-04   0.1973088E-05
  0.4250000E+02   0.5264492E-06   0.1426926E-04   0.2211101E-05
  0.4350000E+02   0.6170655E-06   0.1510470E-04   0.2475949E-05
  0.4450000E+02   0.7217020E-06   0.1599811E-04   0.2770400E-05
  0.4550000E+02   0.8422803E-06   0.1695354E-04   0.3097475E-05
  0.4650000E+02   0.9809515E-06   0.1797527E-04   0.3460470E-05
  0.4750000E+02   0.1140119E-05   0.1906789E-04   0.3862974E-05
  0.4850000E+02   0.1322465E-05   0.2023627E-04   0.4308892E-05
  0.4950000E+02   0.1530976E-05   0.2148563E-04   0.4802469E-05
  0.5050000E+02   0.1768970E-05   0.2282151E-04   0.5348314E-05
  0.5150000E+02   0.2040131E-05   0.2424980E-04   0.5951425E-05
  0.5250000E+02   0.2348541E-05   0.2577681E-04   0.6617218E-05
  0.5350000E+02   0.2698711E-05   0.2740920E-04   0.7351554E-05
  0.5450000E+02   0.3095624E-05   0.2915409E-04   0.8160768E-05
  0.5550000E+02   0.3544769E-05   0.3101903E-04   0.9051701E-05
  0.5650000E+02   0.4052185E-05   0.3301203E-04   0.1003173E-04
  0.5750000E+02   0.4624507E-05   0.3514162E-04   0.1110881E-04
  0.5850000E+02   0.5269004E-05   0.3741681E-04   0.1229150E-04
  0.5950000E+02   0.5993636E-05   0.3984718E-04   0.1358900E-04
  0.6050000E+02   0.6807097E-05   0.4244289E-04   0.1501117E-04
  0.6150000E+02   0.7718869E-05   0.4521466E-04   0.1656863E-04
  0.6250000E+02   0.8739277E-05   0.4817388E-04   0.1827273E-04
  0.6350000E+02   0.9879543E-05   0.5133257E-04   0.2013562E-04
  0.6450000E+02   0.1115184E-04   0.5470344E-04   0.2217028E-04
  0.6550000E+02   0.1256936E-04   0.5829992E-04   0.2439059E-04
  0.6650000E+02   0.1414637E-04   0.6213618E-04   0.2681136E-04
  0.6750000E+02   0.1589825E-04   0.6622717E-04   0.2944833E-04
  0.6850000E+02   0.1784160E-04   0.7058865E-04   0.3231830E-04
  0.6950000E+02   0.1999427E-04   0.7523722E-04   0.3543908E-04
  0.7050000E+02   0.2237542E-04   0.8019036E-04   0.3882962E-04
  0.7150000E+02   0.2500560E-04   0.8546645E-04   0.4250999E-04
  0.7250000E+02   0.2790682E-04   0.9108481E-04   0.4650147E-04
  0.7350000E+02   0.3110258E-04   0.9706573E-04   0.5082656E-04
  0.7450000E+02   0.3461796E-04   0.1034305E-03   0.5550904E-04
  0.7550000E+02   0.3847967E-04   0.1102015E-03   0.6057402E-04
  0.7650000E+02   0.4271611E-04   0.1174020E-03   0.6604796E-04
  0.7750000E+02   0.4735742E-04   0.1250567E-03   0.7195873E-04
  0.7850000E+02   0.5243555E-04   0.1331911E-03   0.7833567E-04
  0.7950000E+02   0.5798431E-04   0.1418320E-03   0.8520956E-04
  0.8050000E+02   0.6403939E-04   0.1510074E-03   0.9261272E-04
  0.8150000E+02   0.7063845E-04   0.1607465E-03   0.1005790E-03
  0.8250000E+02   0.7782114E-04   0.1710798E-03   0.1091439E-03
  0.8350000E+02   0.8562912E-04   0.1820390E-03   0.1183445E-03
  0.8450000E+02   0.9410613E-04   0.1936570E-03   0.1282195E-03
  0.8550000E+02   0.1032980E-03   0.2059682E-03   0.1388092E-03
  0.8650000E+02   0.1132526E-03   0.2190084E-03   0.1501557E-03
  0.8750000E+02   0.1240201E-03   0.2328144E-03   0.1623027E-03
  0.8850000E+02   0.1356527E-03   0.2474247E-03   0.1752958E-03
  0.8950000E+02   0.1482046E-03   0.2628791E-03   0.1891820E-03
  0.9050000E+02   0.1617325E-03   0.2792188E-03   0.2040103E-03
  0.9150000E+02   0.1762948E-03   0.2964862E-03   0.2198313E-03
  0.9250000E+02   0.1919524E-03   0.3147254E-03   0.2366973E-03
  0.9350000E+02   0.2087680E-03   0.3339817E-03   0.2546623E-03
  0.9450000E+02   0.2268066E-03   0.3543020E-03   0.2737821E-03
  0.9550000E+02   0.2461350E-03   0.3757344E-03   0.2941139E-03
  0.9650000E+02   0.2668220E-03   0.3983284E-03   0.3157167E-03
  0.9750000E+02   0.2889386E-03   0.4221351E-03   0.3386512E-03
  0.9850000E+02   0.3125572E-03   0.4472067E-03   0.3629794E-03
  0.9950000E+02   0.3377522E-03   0.4735968E-03   0.3887651E-03
  0.1005000E+03   0.3645997E-03   0.5013604E-03   0.4160732E-03
  0.1015000E+03   0.3931774E-03   0.5305537E-03   0.4449702E-03
  0.1025000E+03   0.4235643E-03   0.5612340E-03   0.4755240E-03
  0.1035000E+03   0.4558411E-03   0.5934602E-03   0.5078035E-03
  0.1045000E+03   0.4900895E-03   0.6272918E-03   0.5418790E-03
  0.1055000E+03   0.5263924E-03   0.6627899E-03   0.5778218E-03
  0.1065000E+03   0.5648338E-03   0.7000162E-03   0.6157041E-03
